address,size,rooms,criteria,price,longitude,latitude,distance,district,neighborhood,id,host_identity_verified,instant_bookable,bed_type,private,luggage_dropoff,stairless,balcony,elevator,moderate,strict,loc,Restaurant,Bar,Café,Coffee Shop,Bakery,Hotel,Ice Cream Shop,Supermarket,Pizza Place,Pub,yearly_incomes_predicted
"Tiergarten (Tiergarten), Berlin",75.0,3.0,['Aufzug'],489000.0,13.37171,52.5196,2.8850503956318314,Mitte,Mitte,69,1,1,1,1,1,0,0,1,0,1,Mitte (nh),2,1,0,0,0,0,0,0,0,0,35508.003
"Schönhauser Str. 18a__, Steglitz (Steglitz), Berlin",75.0,3.0,"['Provisionsfrei*', 'Einbauküche', '+1']",392530.0,13.33559,52.4608,6.584712413105911,Steglitz - Zehlendorf,Steglitz,70,1,1,1,1,1,0,0,0,0,1,other,4,0,1,0,0,0,2,2,0,0,25348.167
"Wrangelstr. 10_f, Steglitz (Steglitz), Berlin",136.0,3.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",651455.0,13.31665,52.45588000000001,7.894779428717248,Steglitz - Zehlendorf,Steglitz,71,1,1,1,1,1,0,1,0,0,1,other,16,0,0,1,1,1,3,2,0,1,44047.312
"Habsburger Str. 8*, Schöneberg (Schöneberg), Berlin",170.0,5.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",703240.0,13.352520000000002,52.49515,3.597802725914366,Tempelhof - Schöneberg,Schöneberg,72,1,1,1,1,1,0,1,0,0,1,Schöneberg (nh),28,15,11,4,1,2,3,1,1,0,56720.131
"Friedenau (Schöneberg), Berlin",140.0,4.0,['Aufzug'],389000.0,13.33741,52.467130000000004,6.012494501647886,Tempelhof - Schöneberg,Schöneberg,73,1,1,1,1,1,0,0,1,0,1,Schöneberg (nh),9,2,6,0,0,0,0,3,0,0,34349.159
"Friedrichshain (Friedrichshain), Berlin",55.0,2.0,"['Balkon/Terrasse', 'Einbauküche', '+3']",299000.0,13.430729999999999,52.528830000000006,3.4088892677477243,Pankow,Prenzlauer Berg,74,1,1,1,1,1,0,1,0,0,1,Prenzlauer Berg (nh),18,6,11,1,2,3,3,2,1,0,28528.525
"Binzstr. 53, 53 A, Pankow (Pankow), Berlin",59.0,3.0,['Balkon/Terrasse'],221925.0,13.41894,52.56375,6.852778916306799,Pankow,Pankow,75,1,1,1,1,1,0,1,0,0,1,other,2,0,0,0,2,0,0,4,0,0,23030.198
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",32.0,2.0,empty,185600.0,13.419279999999999,52.49527,1.3204346755311267,Friedrichshain-Kreuzberg,Kreuzberg,76,1,1,1,1,1,0,0,0,0,1,Kreuzberg (nh),20,16,3,5,3,0,1,1,3,3,27869.299
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",34.0,2.0,empty,197200.0,13.419279999999999,52.49527,1.3204346755311267,Friedrichshain-Kreuzberg,Kreuzberg,77,1,1,1,1,1,0,0,0,0,1,Kreuzberg (nh),20,16,3,5,3,0,1,1,3,3,28097.471
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",48.0,2.0,empty,192000.0,13.419279999999999,52.49527,1.3204346755311267,Friedrichshain-Kreuzberg,Kreuzberg,78,1,1,1,1,1,0,0,0,0,1,Kreuzberg (nh),20,16,3,5,3,0,1,1,3,3,34210.626
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",48.0,2.0,empty,225600.0,13.419279999999999,52.49527,1.3204346755311267,Friedrichshain-Kreuzberg,Kreuzberg,79,1,1,1,1,1,0,0,0,0,1,Kreuzberg (nh),20,16,3,5,3,0,1,1,3,3,34210.626
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",52.0,2.0,empty,189000.0,13.419279999999999,52.49527,1.3204346755311267,Friedrichshain-Kreuzberg,Kreuzberg,80,1,1,1,1,1,0,0,0,0,1,Kreuzberg (nh),20,16,3,5,3,0,1,1,3,3,35178.39
"Graefestr. 2, Kreuzberg (Kreuzberg), Berlin",60.0,2.0,"['Balkon/Terrasse', 'Aufzug']",438000.0,13.419279999999999,52.49527,1.3204346755311267,Friedrichshain-Kreuzberg,Kreuzberg,81,1,1,1,1,1,0,1,1,0,1,Kreuzberg (nh),20,16,3,5,3,0,1,1,3,3,34816.743
"Voltairestraße 11, Mitte (Mitte), Berlin",67.0,2.0,"['Provisionsfrei*', 'Balkon/Terrasse', '+2']",569500.0,13.414979999999998,52.51771,1.814186125567354,Mitte,Mitte,82,1,1,1,1,1,0,1,0,0,1,Mitte (nh),5,0,2,3,1,2,0,1,0,0,37292.353
