id,categories
42742,Tapas Restaurant
42742,Ice Cream Shop
42742,Vietnamese Restaurant
42742,Gourmet Shop
42742,Coffee Shop
42742,Café
42742,Bakery
42742,Bar
42742,Ice Cream Shop
42742,Bookstore
42742,Record Shop
42742,Wine Bar
42742,Coffee Shop
42742,German Restaurant
42742,Park
42742,Café
42742,Vietnamese Restaurant
42742,Bar
42742,Coffee Shop
42742,Falafel Restaurant
42742,Middle Eastern Restaurant
42742,Indian Restaurant
42742,Café
42742,Bakery
42742,Portuguese Restaurant
42742,Pizza Place
42742,Ice Cream Shop
42742,Café
42742,Mediterranean Restaurant
42742,Bakery
42742,Rock Club
42742,Pizza Place
42742,Rock Club
42742,Park
42742,Thrift / Vintage Store
42742,Mexican Restaurant
42742,Bar
42742,Dim Sum Restaurant
42742,Indian Restaurant
42742,Dessert Shop
42742,Cocktail Bar
42742,Music Venue
42742,Bar
42742,Ice Cream Shop
42742,Plaza
42742,Doner Restaurant
42742,Caucasian Restaurant
42742,Bar
42742,Korean Restaurant
42742,Coffee Shop
42742,Food Service
42742,Coffee Shop
42742,Beer Garden
42742,Pie Shop
42742,Café
42742,Vietnamese Restaurant
42742,Pizza Place
42742,Brazilian Restaurant
42742,Coffee Shop
42742,Café
42742,Soup Place
42742,Gay Bar
42742,Asian Restaurant
42742,Bar
42742,Ice Cream Shop
42742,Italian Restaurant
42742,Middle Eastern Restaurant
42742,Bar
42742,Bar
42742,Asian Restaurant
42742,Falafel Restaurant
42742,Vietnamese Restaurant
42742,Cocktail Bar
42742,Argentinian Restaurant
42742,Falafel Restaurant
42742,Vegetarian / Vegan Restaurant
42742,Clothing Store
42742,Organic Grocery
42742,Coffee Shop
42742,Bar
42742,Café
42742,Hotel
42742,Hostel
42809,Bookstore
42809,Pub
42809,Middle Eastern Restaurant
42809,Middle Eastern Restaurant
42809,Record Shop
42809,Wine Shop
42809,Bagel Shop
42809,Gaming Cafe
42809,Café
42809,Bookstore
42809,Thai Restaurant
42809,Café
42809,Performing Arts Venue
42809,Vegetarian / Vegan Restaurant
42809,Café
42809,Kumpir Restaurant
42809,Hot Dog Joint
42809,Bakery
42809,Ice Cream Shop
42809,Pizza Place
42809,Vegetarian / Vegan Restaurant
42809,Thai Restaurant
42809,Falafel Restaurant
42809,Vegetarian / Vegan Restaurant
42809,Coffee Shop
42809,Bar
42809,Italian Restaurant
42809,Middle Eastern Restaurant
42809,Bar
42809,Farmers Market
42809,Asian Restaurant
42809,Vegetarian / Vegan Restaurant
42809,Café
42809,Café
42809,Cupcake Shop
42809,Bagel Shop
42809,Vegetarian / Vegan Restaurant
42809,Thai Restaurant
42809,Coffee Shop
42809,Café
42809,Falafel Restaurant
42809,Middle Eastern Restaurant
42809,Pizza Place
42809,Thrift / Vintage Store
42809,Yoga Studio
42809,Ice Cream Shop
42809,Cocktail Bar
42809,Japanese Restaurant
42809,Gourmet Shop
42809,Korean Restaurant
42809,Bookstore
42809,Ramen Restaurant
42809,Coffee Shop
42809,Bar
42809,Café
42809,Russian Restaurant
42809,Coffee Shop
42809,Sri Lankan Restaurant
42809,Burger Joint
42809,Gift Shop
42809,German Restaurant
42809,Dive Bar
42809,Plaza
42809,Café
42809,Indie Movie Theater
42809,Doner Restaurant
42809,Mediterranean Restaurant
42809,Pizza Place
42809,Burger Joint
42809,Café
42809,German Restaurant
42809,Bar
42809,Café
42809,Tea Room
42809,Doner Restaurant
42809,Trattoria/Osteria
42809,Wine Bar
42809,Vietnamese Restaurant
42809,Boutique
42809,Coffee Shop
42809,German Restaurant
42809,Ice Cream Shop
42809,Gourmet Shop
