address,area,rooms,criteria,price
"Stephanstr. 31, Steglitz (Steglitz), Berlin","97,12 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller']",524.448 €
"Alt-Moabit 73#, Tiergarten (Tiergarten), Berlin","91,96 m²",3 Zi.3,"['Provisionsfrei*', 'Balkon/Terrasse']",465.030 €
"Stralauer Allee 5, Friedrichshain (Friedrichshain), Berlin","112,37 m²",3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', '+5']",1.690.000 €
"Katzbachstraße 5, Kreuzberg (Kreuzberg), Berlin","163,17 m²",4 Zi.4,"['Balkon/Terrasse', 'Keller', '+1']",1.103.700 €
"Lausitzer Straße 34, Kreuzberg (Kreuzberg), Berlin","70,55 m²",2 Zi.2,,539.000 €
"Lausitzer Straße 34, Kreuzberg (Kreuzberg), Berlin","29,11 m²",1 Zi.1,,235.000 €
"Köpenick (Köpenick), Berlin",72 m²,2 Zi.2,['Einbauküche'],146.000 €
"Wintersteinstraße 21, Charlottenburg (Charlottenburg), Berlin","67,82 m²",2 Zi.2,"['Keller', 'Aufzug']",245.000 €
"Warschauer Straße 65, Friedrichshain (Friedrichshain), Berlin","67,99 m²",2 Zi.2,"['Balkon/Terrasse', 'Keller', '+1']",475.000 €
"Ehrlichstraße 70, Karlshorst (Lichtenberg), Berlin","68,5 m²",2 Zi.2,['Keller'],315.100 €
"Französische Straße 56, Mitte (Mitte), Berlin","180,48 m²",3 Zi.3,"['Balkon/Terrasse', 'Einbauküche', '+4']",1.950.000 €
"Wallotstraße 00, Grunewald (Wilmersdorf), Berlin","200,3 m²","4,5 Zi.4,5","['Balkon/Terrasse', 'Keller', '+1']",3.000.000 €
"Bellevuestraße 1, Tiergarten (Tiergarten), Berlin",120 m²,3 Zi.3,"['Einbauküche', 'Keller', '+2']",860.000 €
"Adalbertstraße 66, Mitte (Mitte), Berlin","188,25 m²","3,5 Zi.3,5","['Balkon/Terrasse', 'Einbauküche', '+3']",1.995.000 €
"Kopernikusstraße 30, Friedrichshain (Friedrichshain), Berlin","132,9 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller', '+1']",1.250.000 €
"Taubertstraße 15, Grunewald (Wilmersdorf), Berlin","163,72 m²",4 Zi.4,"['Balkon/Terrasse', 'Gäste-WC', '+2']",1.555.340 €
"Müggelheim (Köpenick), Berlin","66,95 m²",2 Zi.2,['Einbauküche'],189.000 €
"Ostpreußendamm 78, Lichterfelde (Steglitz), Berlin","77,19 m²",3 Zi.3,"['Provisionsfrei*', 'Balkon/Terrasse', '+5']",465.000 €
"Ostpreußendamm 78, Lichterfelde (Steglitz), Berlin","64,24 m²",2 Zi.2,"['Provisionsfrei*', 'Balkon/Terrasse', '+5']",379.000 €
"Hindenburgdamm 1, Lichterfelde (Steglitz), Berlin","84,38 m²",3 Zi.3,"['Balkon/Terrasse', 'Keller', '+3']",545.011 €
"Hindenburgdamm 1, Lichterfelde (Steglitz), Berlin","119,05 m²",4 Zi.4,"['Balkon/Terrasse', 'Keller', '+3']",714.300 €
