index,id,host_is_superhost,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,latitude,longitude,accommodates,bed_type,price,cleaning_fee,guests_included,extra_people,review_scores_rating,instant_bookable,cancellation_policy,moderate,strict,private,size,stairless,luggage_dropoff,balcony,elevator,distance,loc
198,240735,1,0,Biesdorf,Marzahn - Hellersdorf,52.49958,13.557979999999999,1,1,35,40,1,20,100.0,0,moderate,1,0,0,20,0,1,0,0,10.417392729930135,other
203,242978,0,1,Moabit,Mitte,52.528040000000004,13.330210000000001,4,1,63,20,2,5,89.0,1,strict,0,1,1,45,0,0,0,1,5.739009123904076,Moabit (nh)
205,243063,0,1,Mitte,Mitte,52.5285,13.390670000000002,5,1,130,55,2,11,91.0,1,strict,0,1,1,78,0,1,0,0,3.002288793971645,Mitte (nh)
206,243081,0,1,Mitte,Mitte,52.5293,13.390839999999999,8,1,120,60,2,16,94.0,1,strict,0,1,1,100,0,0,0,1,3.0837589678418027,Mitte (nh)
207,243238,0,0,Johannisthal,Treptow - Köpenick,52.44596,13.497779999999999,4,1,68,0,2,16,88.0,1,flexible,0,0,1,52,0,1,0,0,8.950837635099543,other
211,245827,0,0,Mitte,Mitte,52.51155,13.400529999999998,4,1,90,50,2,20,91.0,1,strict,0,1,1,48,0,0,0,1,1.005817618461743,Mitte (nh)
219,250023,0,1,Wilmersdorf,Charlottenburg-Wilm.,52.49771,13.336260000000001,4,1,70,31,2,12,89.0,0,moderate,1,0,1,68,0,0,0,0,4.6313293808221605,Wilmersdorf (nh)
224,250253,0,0,Charlottenburg,Charlottenburg-Wilm.,52.51874,13.306460000000001,6,1,97,50,2,12,86.0,0,strict,0,1,1,68,0,0,1,1,6.846499829277781,Charlottenburg (nh)
228,250704,0,0,Marienfelde,Tempelhof - Schöneberg,52.422979999999995,13.37529,4,1,60,40,2,19,99.0,0,strict,0,1,1,50,0,0,0,0,9.08651930488727,other
229,250707,0,0,Charlottenburg,Charlottenburg-Wilm.,52.51851,13.30839,4,1,59,35,1,12,90.0,0,strict,0,1,1,48,0,0,0,1,6.713745214728453,Charlottenburg (nh)
230,250729,0,0,Schöneberg,Tempelhof - Schöneberg,52.46904,13.347679999999999,6,1,74,50,2,12,84.0,0,strict,0,1,1,66,0,0,0,0,5.357877288443176,Schöneberg (nh)
231,250753,0,0,Tiergarten,Mitte,52.50026,13.36466,6,1,97,50,2,12,96.0,0,strict,0,1,1,73,0,0,1,1,2.689029538416457,Mitte
236,252933,1,1,Schöneberg,Tempelhof - Schöneberg,52.49839,13.35009,1,1,80,10,1,30,94.0,0,strict,0,1,0,25,0,0,0,1,3.6930987784522826,Schöneberg (nh)
239,253005,0,0,Friedrichshain,Friedrichshain-Kreuzberg,52.511219999999994,13.470620000000002,2,1,28,15,1,16,94.0,0,moderate,1,0,0,5,0,1,0,0,4.594244781569234,Friedrichshain (nh)
242,254762,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.50323,13.43322,4,1,80,40,1,0,89.0,0,strict,0,1,1,50,0,0,0,0,1.966933776211863,Kreuzberg (nh)
243,254788,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.49768,13.41314,3,1,50,40,2,5,87.0,0,strict,0,1,1,100,0,0,0,0,0.830826950078552,Kreuzberg (nh)
249,255557,0,0,Friedrichshain,Friedrichshain-Kreuzberg,52.50898000000001,13.46649,4,1,55,64,2,13,87.0,0,strict,0,1,1,35,0,0,0,0,4.273925478156816,Friedrichshain (nh)
250,255722,0,0,Kreuzberg,Friedrichshain-Kreuzberg,52.49595,13.38529,5,1,75,0,2,10,90.0,0,moderate,1,0,1,50,0,1,0,0,1.486655067557617,Kreuzberg (nh)
253,255912,0,0,Friedrichshain,Friedrichshain-Kreuzberg,52.508759999999995,13.46817,4,1,50,49,2,15,85.0,1,strict,0,1,1,100,0,0,1,0,4.3824131916232485,Friedrichshain (nh)
258,260095,1,0,Buckow,Neukölln,52.424820000000004,13.44685,4,1,55,30,2,15,98.0,0,flexible,0,0,1,52,0,0,0,0,9.138270075703181,other
261,264459,1,0,Prenzlauer Berg,Pankow,52.532030000000006,13.41705,2,1,60,25,1,0,97.0,1,strict,0,1,1,32,0,0,0,0,3.3671970024019036,Prenzlauer Berg (nh)
271,265955,0,1,Schöneberg,Tempelhof - Schöneberg,52.491640000000004,13.34994,2,0,55,60,1,12,98.0,0,strict,0,1,1,45,0,0,0,0,3.8744821735661548,Schöneberg (nh)
273,266181,1,0,Friedrichshain,Friedrichshain-Kreuzberg,52.50918000000001,13.460360000000001,2,1,48,25,1,12,96.0,1,flexible,0,0,1,36,0,0,0,0,3.869066326400761,Friedrichshain (nh)
274,267399,0,0,Neukölln,Neukölln,52.48936,13.426429999999998,5,1,55,40,2,30,96.0,0,strict,0,1,1,74,1,0,0,0,2.1207663842180944,Neukölln (nh)
275,267764,0,1,Mitte,Mitte,52.53785,13.398179999999998,3,1,129,35,2,10,98.0,0,moderate,1,0,1,75,0,0,1,0,3.920615398539005,Mitte (nh)
282,271340,1,0,Mitte,Mitte,52.538709999999995,13.402870000000002,2,1,70,30,1,0,95.0,1,moderate,1,0,1,100,0,0,0,0,3.9962074502045835,Mitte (nh)
283,271739,1,1,Kreuzberg,Friedrichshain-Kreuzberg,52.50329,13.42017,2,1,40,12,1,15,96.0,0,strict,0,1,0,80,0,1,0,0,1.0844694309247782,Kreuzberg (nh)
285,273076,1,0,Wedding,Mitte,52.54179,13.35419,4,1,61,35,2,12,99.0,0,moderate,1,0,1,63,0,0,0,0,5.500029221317485,Wedding (nh)
290,274798,0,0,Kreuzberg,Friedrichshain-Kreuzberg,52.50075,13.44546,2,1,50,50,1,25,98.0,1,strict,0,1,0,100,0,1,1,0,2.8039611525937764,Kreuzberg (nh)
